"Refs","Value","Footprint","Qty","DNP"
"C1","10uF VREF bulk","Custom:TH_2Pin_7p62","1",""
"C2","100nF VREF bypass","Custom:TH_2Pin_7p62","1",""
"C3","100nF op-amp decouple","Custom:TH_2Pin_7p62","1",""
"C4","1uF input coupling","Custom:TH_2Pin_7p62","1",""
"C5","1uF into Daisy","Custom:TH_2Pin_7p62","1",""
"C6","1uF from Daisy Out","Custom:TH_2Pin_7p62","1",""
"C7","10uF final output coupling","Custom:TH_2Pin_7p62","1",""
"J1","Input TS jack: tip/sleeve","Custom:Jack_or_Switch_2Pin","1",""
"J2","Output TS jack: tip/sleeve","Custom:Jack_or_Switch_2Pin","1",""
"R1","100k VREF top","Custom:TH_2Pin_7p62","1",""
"R2","100k VREF bottom","Custom:TH_2Pin_7p62","1",""
"R3","1M to VREF","Custom:TH_2Pin_7p62","1",""
"R4","100R","Custom:TH_2Pin_7p62","1",""
"R5","100k output bias","Custom:TH_2Pin_7p62","1",""
"R6","100R output iso","Custom:TH_2Pin_7p62","1",""
"R7","100k pulldown","Custom:TH_2Pin_7p62","1",""
"RV1","B10K wet/dry","Custom:Pot_3Pin_B10K_Wired","1",""
"RV2","B10K amount","Custom:Pot_3Pin_B10K_Wired","1",""
"RV3","B10K time/rate","Custom:Pot_3Pin_B10K_Wired","1",""
"RV4","B10K feedback","Custom:Pot_3Pin_B10K_Wired","1",""
"RV5","B10K output level","Custom:Pot_3Pin_B10K_Wired","1",""
"SW1","Momentary mode switch","Custom:Jack_or_Switch_2Pin","1",""
"U1","MCP6002 dual op-amp","Package_DIP:DIP-8_W7.62mm","1",""
"U2","Daisy Seed minimal pinout","Custom:Daisy_Seed_2x20_Socket","1",""
