Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF VREF","TH_2Pin_7p62",70.000000,-24.000000,0.000000,top
"C2","100nF VREF","TH_2Pin_7p62",70.000000,-29.000000,0.000000,top
"C3","100nF MCP6002 decouple","TH_2Pin_7p62",70.000000,-35.000000,0.000000,top
"C4","1uF input coupling","TH_2Pin_7p62",34.000000,-38.000000,0.000000,top
"C5","1uF to Daisy In","TH_2Pin_7p62",96.000000,-40.000000,0.000000,top
"C6","1uF from Daisy Out","TH_2Pin_7p62",98.000000,-64.000000,0.000000,top
"C7","10uF output coupling","TH_2Pin_7p62",101.000000,-73.000000,0.000000,top
"J1","INPUT_TS_JACK","Jack_or_Switch_2Pin",15.000000,-38.000000,0.000000,top
"J2","OUTPUT_TS_JACK","Jack_or_Switch_2Pin",140.000000,-86.000000,0.000000,top
"R1","100k VREF top","TH_2Pin_7p62",55.000000,-24.000000,0.000000,top
"R2","100k VREF bottom","TH_2Pin_7p62",55.000000,-29.000000,0.000000,top
"R3","1M input bias","TH_2Pin_7p62",49.000000,-43.000000,0.000000,top
"R4","100R","TH_2Pin_7p62",82.000000,-40.000000,0.000000,top
"R5","100k out bias","TH_2Pin_7p62",86.000000,-64.000000,0.000000,top
"R6","100R out iso","TH_2Pin_7p62",84.000000,-73.000000,0.000000,top
"R7","100k output pulldown","TH_2Pin_7p62",118.000000,-78.000000,0.000000,top
"RV1","B10K","Pot_3Pin_B10K_Wired",25.000000,-15.000000,0.000000,top
"RV2","B10K","Pot_3Pin_B10K_Wired",43.000000,-15.000000,0.000000,top
"RV3","B10K","Pot_3Pin_B10K_Wired",61.000000,-15.000000,0.000000,top
"RV4","B10K","Pot_3Pin_B10K_Wired",79.000000,-15.000000,0.000000,top
"RV5","B10K volume","Pot_3Pin_B10K_Wired",105.000000,-86.000000,0.000000,top
"SW1","MOMENTARY_MODE_SWITCH","Jack_or_Switch_2Pin",106.000000,-34.000000,0.000000,top
"U1","MCP6002-I/P","DIP-8_W7.62mm",66.000000,-48.000000,0.000000,top
"U2","Daisy Seed socket / 2x20","Daisy_Seed_2x20_Socket",118.000000,-24.000000,0.000000,top
